ozdes_id,RA,DEC
SVA1_COADD-2938631157,34.4854,-5.1143
SVA1_COADD-2938636287,34.3273,-5.0444
SVA1_COADD-2970466027,9.0133,-43.0895
OzDES-DR2_03048,36.0657,-4.238
SVA1_COADD-2938270666,35.0545,-4.8539
SVA1_COADD-2938340901,34.7524,-5.5224
SVA1_COADD-2940377880,35.3682,-6.3707
SVA1_COADD-2943201524,9.274,-44.6683
SVA1_COADD-2971171769,8.5535,-43.2585
SVA1_COADD-2925685471,41.0011,-1.261
SVA1_COADD-2939163301,35.9054,-7.2919
SVA1_COADD-2940203561,52.8206,-27.5083
OzDES-DR2_03551,98.225,-59.2957
SVA1_COADD-2925337297,41.5757,-1.8884
SVA1_COADD-2970919204,7.9301,-43.7537
SVA1_COADD-2970972990,7.5264,-43.2466
SVA1_COADD-2971085825,7.808,-42.5669
OzDES-DR2_03572,40.8354,-0.8286
SVA1_COADD-2925562446,42.1083,0.3956
SVA1_COADD-2970787873,9.6293,-44.3169
SVA1_COADD-2940229742,54.3873,-29.461
SVA1_COADD-2940939945,51.9499,-27.5841
SVA1_COADD-2925397940,43.5478,-0.3123
SVA1_COADD-2925577636,41.5562,-1.039
OzDES-DR2_01712,54.9383,-29.163
SVA1_COADD-2925686205,40.5612,-1.2481
SVA1_COADD-2970387030,6.7438,-43.2351
SVA1_COADD-2940848220,51.7465,-28.2403
OzDES-DR2_03559,98.4307,-58.3055
OzDES-DR2_03600,40.2126,-1.0003
OzDES-DR2_03684,42.8049,1.0408
SVA1_COADD-2925407044,43.794,-0.1203
SVA1_COADD-2925756435,43.1485,0.5733
SVA1_COADD-2970677475,8.7409,-44.1852
SVA1_COADD-2938001160,37.2765,-4.8386
SVA1_COADD-2937766484,34.3338,-5.6604
SVA1_COADD-2940448274,52.8921,-27.1809
SVA1_COADD-2925602086,41.6267,-0.6394
SVA1_COADD-2940852937,51.8649,-28.1857
OzDES-DR2_03534,97.6033,-59.3574
SVA1_COADD-2937733023,34.2401,-5.9475
OzDES-DR2_03804,96.1238,-58.3566
OzDES-DR2_03807,96.2673,-59.1459
OzDES-DR2_03709,43.0043,0.4881
SVA1_COADD-2938347317,34.8055,-5.4489
SVA1_COADD-2938905655,36.4269,-5.2468
SVA1_COADD-2939035120,36.6027,-4.3339
SVA1_COADD-2939055397,36.9438,-4.1857
SVA1_COADD-2937483214,36.1856,-3.8055
OzDES-DR2_03666,42.6836,0.7354
OzDES-DR2_03818,97.0373,-59.6656
SVA1_COADD-2940507850,51.9739,-28.6268
SVA1_COADD-2939487586,54.6938,-27.6933
SVA1_COADD-2940224082,54.1879,-29.5132
SVA1_COADD-2939643434,54.8014,-29.5677
SVA1_COADD-2970955917,7.1779,-43.4142
SVA1_COADD-2971170957,8.3768,-43.2651
SVA1_COADD-2939541748,54.6799,-27.0893
SVA1_COADD-2970740156,9.596,-43.6272
OzDES-DR2_03810,96.7129,-58.7183
SVA1_COADD-2970558008,10.5215,-43.4092
SVA1_COADD-2970837087,9.7873,-44.1466
SVA1_COADD-2970908353,7.2589,-43.8857
SVA1_COADD-2938037633,36.2794,-7.2055
OzDES-DR2_01880,54.238,-29.7752
SVA1_COADD-2940734762,52.77,-28.2744
OzDES-DR2_03678,42.7447,-0.5586
SVA1_COADD-2970615822,10.2264,-43.9217
DES16X3bdi,36.7171,-4.0992
OzDES-DR2_02532,53.0682,-28.733
SVA1_COADD-2937878159,35.4443,-6.8468
SVA1_COADD-2939535084,54.7944,-27.1754
SVA1_COADD-2925486343,41.7469,-0.9231
OzDES-DR2_03051,36.0169,-4.8551
OzDES-DR2_03694,42.9231,0.6854
OzDES-DR2_03499,96.5205,-58.8742
SVA1_COADD-2938502367,36.0735,-3.9941
SVA1_COADD-2939297614,55.2866,-27.4055
SVA1_COADD-2940224019,54.2185,-29.5135
SVA1_COADD-2939696843,54.6086,-29.0327
OzDES-DR2_03525,97.4194,-58.3405
SVA1_COADD-2925840006,40.9375,-0.6903
SVA1_COADD-2940230782,54.0386,-29.4527
OzDES-DR2_03827,97.3865,-59.6002
OzDES-DR2_02242,52.2061,-28.209
OzDES-DR2_03516,97.1423,-59.2829
SVA1_COADD-2939034915,36.666,-4.3345
SVA1_COADD-2970850207,9.7587,-44.0811
SVA1_COADD-2970912847,7.8888,-43.8127
SVA1_COADD-2970606151,10.2148,-44.0676
SVA1_COADD-2938857554,35.2514,-4.4328
OzDES-DR2_03561,98.7328,-58.3909
SVA1_COADD-2940750431,55.0282,-26.7362
OzDES-DR2_03510,96.9066,-58.1923
OzDES-DR2_03830,97.8509,-59.5836
SVA1_COADD-2925785900,42.5543,-0.807
